TARGETID	TARGETSCHEMEID	TARGETCODES	TARGETRULE	TARGETADVICE
2224059	2.16.840.1.113883.6.5.2.1	824.0		
9555597058	2.16.840.1.113883.6.5.2.1	369.04		
6467054	2.16.840.1.113883.6.5.2.1	601.9		
7197057	2.16.840.1.113883.6.5.2.1	736.73		
2025051	2.16.840.1.113883.6.5.2.1	791.4		
5047058	2.16.840.1.113883.6.5.2.1	361.00		
1525057	2.16.840.1.113883.6.5.2.1	719.41		
9550315052	2.16.840.1.113883.6.5.2.1	567.22		
7137059	2.16.840.1.113883.6.5.2.1	730.20		
9550283054	2.16.840.1.113883.6.5.2.1	276.52		
5834054	2.16.840.1.113883.6.5.2.1	437.4		
3918052	2.16.840.1.113883.6.5.2.1	148.9		
8250053	2.16.840.1.113883.6.5.2.1	863.89		
5359053	2.16.840.1.113883.6.5.2.1	372.10		
4332050	2.16.840.1.113883.6.5.2.1	207.00		
5868056	2.16.840.1.113883.6.5.2.1	446.0		
7330054	2.16.840.1.113883.6.5.2.1	747.22		
9553478058	2.16.840.1.113883.6.5.2.1	V16.42		
3228050	2.16.840.1.113883.6.5.2.1	005.9		
3953058	2.16.840.1.113883.6.5.2.1	154.1		
9553492051	2.16.840.1.113883.6.5.2.1	V17.5		
6599059	2.16.840.1.113883.6.5.2.1	635.70		
1064052	2.16.840.1.113883.6.5.2.1	524.69		
3975056	2.16.840.1.113883.6.5.2.1	160.9		
6045058	2.16.840.1.113883.6.5.2.1	513.0		
1136058	2.16.840.1.113883.6.5.2.1	577.0		
9553570050	2.16.840.1.113883.6.5.2.1	238.72		
1220053	2.16.840.1.113883.6.5.2.1	616.9		
5001053	2.16.840.1.113883.6.5.2.1	357.9		
3525052	2.16.840.1.113883.6.5.2.1	072.3		
7862056	2.16.840.1.113883.6.5.2.1	815.01		
101050	2.16.840.1.113883.6.5.2.1	009.2		
1648056	2.16.840.1.113883.6.5.2.1	736.89		
7024055	2.16.840.1.113883.6.5.2.1	721.42		
1384056	2.16.840.1.113883.6.5.2.1	692.83		
2776059	2.16.840.1.113883.6.5.2.1	V01.9		
4933053	2.16.840.1.113883.6.5.2.1	341.9		
1438054	2.16.840.1.113883.6.5.2.1	708.9		
3565051	2.16.840.1.113883.6.5.2.1	079.98		
3290054	2.16.840.1.113883.6.5.2.1	015.60		
9535019057	2.16.840.1.113883.6.5.2.1	372.13		
9534182054	2.16.840.1.113883.6.5.2.1	115.95		
4778057	2.16.840.1.113883.6.5.2.1	296.03		
9555525057	2.16.840.1.113883.6.5.2.1	377.43		
3516059	2.16.840.1.113883.6.5.2.1	070.30		
366054	2.16.840.1.113883.6.5.2.1	283.0		
9536625052	2.16.840.1.113883.6.5.2.1	793.80		
798059	2.16.840.1.113883.6.5.2.1	372.72		
7595055	2.16.840.1.113883.6.5.2.1	772.2		
1644059	2.16.840.1.113883.6.5.2.1	736.70		
7043055	2.16.840.1.113883.6.5.2.1	722.81		
